label,kind,threshold,tokens_per_step_target,accuracy,avg_nfe,avg_tokens_per_step,throughput_tokens_per_sec,samples
t=0.5,threshold,0.5,,67.32373009855952,46.538286580742984,5.697396715756549,38.4273455285368,1319
t=0.6,threshold,0.6,,74.67778620166793,52.35253980288097,5.13149320087469,34.62112752136636,1319
t=0.7,threshold,0.7,,77.63457164518574,61.68309325246399,4.372812192723697,29.60249639720137,1319
t=0.8,threshold,0.8,,76.80060652009098,75.131159969674,3.5982966356535955,24.245627547575708,1319
t=0.9,threshold,0.9,,77.5587566338135,94.5489006823351,2.847173442386336,19.17523336955309,1319
t=1,threshold,1.0,,76.64897649734648,512.0,0.5246828207922669,3.5569361868585543,1319
1 tok/step,fixed,,1.0,76.64897649734648,512.0,0.5246828207922669,3.566560593794689,1319
2 tok/step,fixed,,2.0,75.58756633813495,256.0,1.029079202994693,6.981273518881893,1319
4 tok/step,fixed,,4.0,64.89764973464746,128.0,2.019664518574678,13.68361548657851,1319
8 tok/step,fixed,,8.0,29.946929492039427,64.0,5.462234647460197,37.191556797353535,1319
